ACC,MIhat,Purity,P,R,F,RI,omega,lambda,r,p,time,iter
0.8125,0.8913,0.8275,0.7274,0.7589,0.7428,0.7367,0.01000,0.1000,4.0,0.5,3.20,20,bw 
0.8125,0.8992,0.8375,0.7411,0.7744,0.7574,0.7517,0.01000,0.1000,4.0,0.4,5.20,32,bw 
0.8125,0.8989,0.8375,0.7412,0.7733,0.7569,0.7512,0.01000,0.1000,4.0,0.3,3.15,14,bw 
0.8050,0.8907,0.8275,0.7276,0.7539,0.7405,0.7344,0.01000,0.1000,4.0,0.2,2.52,14,bw 
0.8050,0.8887,0.8275,0.7237,0.7539,0.7385,0.7323,0.01000,0.1000,4.0,0.1,2.77,18,bw 
0.9000,0.9515,0.9100,0.8466,0.8894,0.8675,0.8644,0.01000,1.0000,4.0,1.0,12.01,76,bw 
0.9375,0.9598,0.9400,0.8766,0.9117,0.8938,0.8913,0.01000,1.0000,4.0,0.9,12.05,70,bw 
0.8850,0.9313,0.8925,0.8145,0.8467,0.8303,0.8263,0.01000,1.0000,4.0,0.8,11.38,68,bw 
0.8600,0.9248,0.8675,0.7924,0.8272,0.8095,0.8050,0.01000,1.0000,4.0,0.7,9.23,67,bw 
0.8225,0.9041,0.8375,0.7547,0.7778,0.7661,0.7606,0.01000,1.0000,4.0,0.6,8.54,62,bw 
0.8150,0.8992,0.8350,0.7454,0.7711,0.7581,0.7524,0.01000,1.0000,4.0,0.5,7.32,60,bw 
0.8175,0.9001,0.8350,0.7487,0.7744,0.7613,0.7557,0.01000,1.0000,4.0,0.4,7.12,57,bw 
0.8100,0.8971,0.8350,0.7430,0.7678,0.7552,0.7494,0.01000,1.0000,4.0,0.3,2.72,20,bw 
0.8150,0.8986,0.8375,0.7425,0.7739,0.7579,0.7522,0.01000,1.0000,4.0,0.2,2.27,17,bw 
0.8200,0.8931,0.8325,0.7314,0.7611,0.7460,0.7400,0.01000,1.0000,4.0,0.1,4.55,37,bw 
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.01000,5.0000,4.0,1.0,13.80,102,bw 
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.01000,5.0000,4.0,0.9,12.80,100,bw 
0.8825,0.9402,0.8925,0.8252,0.8811,0.8522,0.8487,0.01000,5.0000,4.0,0.8,12.40,97,bw 
0.9500,0.9812,0.9500,0.9000,1.0000,0.9474,0.9461,0.01000,5.0000,4.0,0.7,12.55,95,bw 
0.7475,0.8677,0.7650,0.6437,0.7750,0.7033,0.6958,0.01000,5.0000,4.0,0.6,13.28,91,bw 
0.7775,0.8773,0.7875,0.6668,0.7717,0.7154,0.7084,0.01000,5.0000,4.0,0.5,13.07,82,bw 
0.7600,0.8707,0.7800,0.6561,0.7483,0.6992,0.6918,0.01000,5.0000,4.0,0.4,10.91,80,bw 
0.8800,0.9357,0.8875,0.8203,0.8494,0.8346,0.8307,0.01000,5.0000,4.0,0.3,12.90,72,bw 
0.8225,0.9029,0.8400,0.7546,0.7806,0.7673,0.7619,0.01000,5.0000,4.0,0.2,31.06,72,bw 
0.8225,0.9016,0.8375,0.7525,0.7789,0.7655,0.7600,0.01000,5.0000,4.0,0.1,10.09,67,bw 
0.8250,0.9114,0.8375,0.7420,0.7989,0.7694,0.7639,0.01000,10.0000,4.0,1.0,19.07,111,bw 
0.9475,0.9751,0.9600,0.9175,0.9456,0.9313,0.9297,0.01000,10.0000,4.0,0.9,15.22,108,bw 
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.01000,10.0000,4.0,0.8,15.31,107,bw 
0.9425,0.9769,0.9450,0.8889,0.9783,0.9315,0.9298,0.01000,10.0000,4.0,0.7,13.46,104,bw 
0.9750,0.9880,0.9750,0.9465,0.9822,0.9640,0.9632,0.01000,10.0000,4.0,0.6,12.91,102,bw 
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.01000,10.0000,4.0,0.5,13.03,99,bw 
0.7925,0.8892,0.8100,0.6912,0.7944,0.7392,0.7328,0.01000,10.0000,4.0,0.4,12.89,93,bw 
0.7925,0.8916,0.8125,0.6967,0.7989,0.7443,0.7380,0.01000,10.0000,4.0,0.3,11.88,85,bw 
0.7275,0.8533,0.7475,0.6265,0.7156,0.6680,0.6599,0.01000,10.0000,4.0,0.2,9.69,80,bw 
0.8300,0.9089,0.8475,0.7635,0.7961,0.7794,0.7742,0.01000,10.0000,4.0,0.1,9.74,75,bw 
0.5650,0.7785,0.5650,0.4197,0.7911,0.5484,0.5347,0.01000,50.0000,4.0,1.0,19.58,130,bw 
0.6350,0.8112,0.6350,0.4938,0.7950,0.6092,0.5980,0.01000,50.0000,4.0,0.9,17.45,127,bw 
0.7050,0.8387,0.7100,0.5465,0.7544,0.6338,0.6240,0.01000,50.0000,4.0,0.8,15.79,124,bw 
0.6500,0.8232,0.6625,0.5057,0.6617,0.5733,0.5621,0.01000,50.0000,4.0,0.7,16.10,122,bw 
0.6725,0.8296,0.6825,0.5197,0.6444,0.5754,0.5645,0.01000,50.0000,4.0,0.6,20.26,119,bw 
0.6700,0.8361,0.6950,0.5254,0.6606,0.5853,0.5746,0.01000,50.0000,4.0,0.5,16.80,117,bw 
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.01000,50.0000,4.0,0.4,23.36,114,bw 
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.01000,50.0000,4.0,0.3,20.15,112,bw 
0.9725,0.9866,0.9725,0.9416,0.9850,0.9628,0.9619,0.01000,50.0000,4.0,0.2,19.46,109,bw 
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.01000,50.0000,4.0,0.1,18.48,105,bw 
0.5300,0.7504,0.5300,0.3695,0.7533,0.4958,0.4801,0.01000,100.0000,4.0,1.0,25.09,137,bw 
0.4675,0.7166,0.4675,0.3305,0.7839,0.4650,0.4475,0.01000,100.0000,4.0,0.9,25.89,137,bw 
