ACC,MIhat,Purity,P,R,F,RI,omega,lambda,r,p,time,iter
0.4619,0.4048,0.4714,0.3619,0.3852,0.3732,0.2686,0.00090,0.0100,4.0,0.4,0.80,10,bw 
0.4619,0.4048,0.4714,0.3619,0.3852,0.3732,0.2686,0.00090,0.0100,4.0,0.3,0.72,11,bw 
0.4619,0.4048,0.4714,0.3619,0.3852,0.3732,0.2686,0.00090,0.0100,4.0,0.2,0.73,10,bw 
0.4619,0.4076,0.4762,0.3641,0.3862,0.3748,0.2706,0.00090,0.0100,4.0,0.1,0.60,9,bw 
0.5000,0.4118,0.5000,0.3559,0.3757,0.3656,0.2601,0.00090,0.1000,4.0,1.0,2.39,46,bw 
0.4571,0.4010,0.4667,0.3538,0.3796,0.3663,0.2600,0.00090,0.1000,4.0,0.9,2.17,45,bw 
0.4571,0.3854,0.4571,0.3458,0.3675,0.3563,0.2489,0.00090,0.1000,4.0,0.8,2.32,44,bw 
0.4571,0.3996,0.4619,0.3535,0.3747,0.3638,0.2578,0.00090,0.1000,4.0,0.7,2.38,43,bw 
0.4619,0.4019,0.4667,0.3576,0.3803,0.3686,0.2632,0.00090,0.1000,4.0,0.6,2.13,40,bw 
0.4667,0.4146,0.4762,0.3661,0.3918,0.3785,0.2744,0.00090,0.1000,4.0,0.5,1.95,35,bw 
0.4667,0.4089,0.4714,0.3637,0.3839,0.3735,0.2694,0.00090,0.1000,4.0,0.4,1.80,37,bw 
0.4714,0.4106,0.4762,0.3665,0.3859,0.3759,0.2724,0.00090,0.1000,4.0,0.3,1.74,34,bw 
0.4619,0.4085,0.4714,0.3672,0.3878,0.3773,0.2737,0.00090,0.1000,4.0,0.2,1.68,31,bw 
0.4619,0.3946,0.4667,0.3566,0.3780,0.3670,0.2615,0.00090,0.1000,4.0,0.1,0.96,16,bw 
0.7762,0.7195,0.7952,0.7007,0.7097,0.7052,0.6573,0.00090,1.0000,4.0,1.0,4.36,91,bw 
0.7476,0.6854,0.7476,0.6328,0.6594,0.6459,0.5874,0.00090,1.0000,4.0,0.9,4.39,89,bw 
0.7429,0.6238,0.7429,0.6018,0.6184,0.6100,0.5461,0.00090,1.0000,4.0,0.8,4.62,87,bw 
0.7429,0.6190,0.7429,0.5980,0.6161,0.6069,0.5425,0.00090,1.0000,4.0,0.7,4.15,84,bw 
0.7381,0.6286,0.7381,0.5961,0.6131,0.6045,0.5397,0.00090,1.0000,4.0,0.6,4.26,83,bw 
0.5143,0.4017,0.5238,0.3617,0.3816,0.3714,0.2669,0.00090,1.0000,4.0,0.5,3.92,73,bw 
0.5238,0.4766,0.5333,0.4190,0.4558,0.4366,0.3414,0.00090,1.0000,4.0,0.4,3.41,64,bw 
0.5095,0.4116,0.5095,0.3669,0.3964,0.3811,0.2768,0.00090,1.0000,4.0,0.3,3.19,63,bw 
0.4667,0.4013,0.4667,0.3557,0.3764,0.3657,0.2602,0.00090,1.0000,4.0,0.2,3.20,63,bw 
0.4762,0.4236,0.4810,0.3748,0.4026,0.3882,0.2855,0.00090,1.0000,4.0,0.1,3.09,58,bw 
0.7000,0.7080,0.7000,0.6014,0.7146,0.6532,0.5916,0.00090,5.0000,4.0,1.0,5.53,124,bw 
0.9286,0.8866,0.9286,0.8614,0.8821,0.8717,0.8507,0.00090,5.0000,4.0,0.9,7.51,119,bw 
0.5524,0.5765,0.5762,0.4616,0.6217,0.5298,0.4407,0.00090,5.0000,4.0,0.8,7.65,112,bw 
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.00090,5.0000,4.0,0.7,6.63,111,bw 
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.00090,5.0000,4.0,0.6,6.14,106,bw 
0.9667,0.9280,0.9667,0.9325,0.9340,0.9332,0.9225,0.00090,5.0000,4.0,0.5,6.00,105,bw 
0.7857,0.7073,0.7857,0.6641,0.6883,0.6760,0.6227,0.00090,5.0000,4.0,0.4,6.42,104,bw 
0.7429,0.6148,0.7429,0.5870,0.5980,0.5925,0.5261,0.00090,5.0000,4.0,0.3,5.67,96,bw 
0.6810,0.5629,0.6810,0.5280,0.5787,0.5522,0.4762,0.00090,5.0000,4.0,0.2,5.23,94,bw 
0.6286,0.6001,0.6667,0.5380,0.6062,0.5701,0.4960,0.00090,5.0000,4.0,0.1,5.29,89,bw 
0.4667,0.4519,0.4714,0.3404,0.5770,0.4282,0.3073,0.00090,10.0000,4.0,1.0,6.98,121,bw 
0.7952,0.7408,0.7952,0.6295,0.7333,0.6775,0.6209,0.00090,10.0000,4.0,0.9,6.58,123,bw 
0.7048,0.7120,0.7524,0.5885,0.7120,0.6444,0.5807,0.00090,10.0000,4.0,0.8,7.87,128,bw 
0.6048,0.5337,0.6095,0.4222,0.5379,0.4731,0.3761,0.00090,10.0000,4.0,0.7,6.29,115,bw 
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.00090,10.0000,4.0,0.6,7.12,125,bw 
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.00090,10.0000,4.0,0.5,6.47,112,bw 
0.9667,0.9249,0.9667,0.9333,0.9333,0.9333,0.9226,0.00090,10.0000,4.0,0.4,6.71,116,bw 
0.8524,0.8891,0.8571,0.7685,0.9810,0.8618,0.8363,0.00090,10.0000,4.0,0.3,6.62,111,bw 
0.8095,0.7993,0.8095,0.6868,0.8217,0.7482,0.7034,0.00090,10.0000,4.0,0.2,6.05,107,bw 
0.7714,0.6723,0.7714,0.6427,0.6621,0.6522,0.5952,0.00090,10.0000,4.0,0.1,5.13,101,bw 
0.4143,0.3177,0.4143,0.2588,0.7589,0.3860,0.2258,0.00090,50.0000,4.0,1.0,6.77,140,bw 
0.4619,0.4609,0.4905,0.3149,0.6844,0.4313,0.2979,0.00090,50.0000,4.0,0.9,6.53,139,bw 
0.4762,0.3966,0.4905,0.3053,0.6138,0.4078,0.2730,0.00090,50.0000,4.0,0.8,7.14,137,bw 
0.6476,0.6470,0.6476,0.5359,0.7596,0.6284,0.5562,0.00090,50.0000,4.0,0.7,6.46,139,bw 
0.6476,0.6290,0.6714,0.5346,0.6171,0.5729,0.4983,0.00090,50.0000,4.0,0.6,6.43,139,bw 
0.6333,0.5733,0.6333,0.4435,0.6814,0.5373,0.4438,0.00090,50.0000,4.0,0.5,5.93,131,bw 
0.6095,0.5461,0.6095,0.4445,0.6828,0.5385,0.4452,0.00090,50.0000,4.0,0.4,6.97,138,bw 
0.6048,0.5195,0.6048,0.4055,0.5649,0.4721,0.3704,0.00090,50.0000,4.0,0.3,6.15,127,bw 
0.9333,0.8816,0.9333,0.8688,0.8828,0.8757,0.8555,0.00090,50.0000,4.0,0.2,6.04,133,bw 
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.00090,50.0000,4.0,0.1,6.15,134,bw 
0.1429,0.0000,0.1429,0.1388,1.0000,0.2437,0.0000,0.00090,100.0000,4.0,1.0,5.84,126,bw 
0.3000,0.2260,0.3000,0.2058,0.6384,0.3112,0.1283,0.00090,100.0000,4.0,0.9,6.99,147,bw 
0.2905,0.2662,0.2905,0.2421,0.8624,0.3781,0.2061,0.00090,100.0000,4.0,0.8,7.03,146,bw 
0.5286,0.5363,0.5286,0.3991,0.8181,0.5365,0.4302,0.00090,100.0000,4.0,0.7,6.97,142,bw 
0.4476,0.4441,0.4476,0.3425,0.6637,0.4519,0.3291,0.00090,100.0000,4.0,0.6,7.89,144,bw 
0.4714,0.4080,0.4762,0.3465,0.5163,0.4147,0.2981,0.00090,100.0000,4.0,0.5,7.96,125,bw 
0.4667,0.4512,0.4952,0.3500,0.4082,0.3769,0.2675,0.00090,100.0000,4.0,0.4,7.17,128,bw 
0.4905,0.4063,0.4905,0.3333,0.4542,0.3845,0.2672,0.00090,100.0000,4.0,0.3,6.21,117,bw 
0.7143,0.6971,0.7333,0.5876,0.7291,0.6507,0.5873,0.00090,100.0000,4.0,0.2,6.49,131,bw 
0.9238,0.8680,0.9238,0.8467,0.8634,0.8550,0.8313,0.00090,100.0000,4.0,0.1,7.06,132,bw 
0.5286,0.4267,0.5286,0.3921,0.4361,0.4129,0.3125,0.00090,0.0261,5.0,1.0,2.36,36,bw 
0.4762,0.3746,0.4810,0.3463,0.3655,0.3556,0.2486,0.00090,0.0261,5.0,0.9,2.66,29,bw 
0.4857,0.4207,0.4857,0.3621,0.3846,0.3730,0.2684,0.00090,0.0261,5.0,0.8,1.81,29,bw 
0.4619,0.4204,0.4714,0.3692,0.3941,0.3813,0.2778,0.00090,0.0261,5.0,0.7,2.26,29,bw 
0.4619,0.4204,0.4714,0.3692,0.3941,0.3813,0.2778,0.00090,0.0261,5.0,0.6,2.11,27,bw 
0.4619,0.4187,0.4714,0.3683,0.3924,0.3800,0.2764,0.00090,0.0261,5.0,0.5,2.05,24,bw 
0.4667,0.4044,0.4714,0.3610,0.3819,0.3712,0.2665,0.00090,0.0261,5.0,0.4,1.70,24,bw 
0.4571,0.4074,0.4714,0.3666,0.3901,0.3780,0.2741,0.00090,0.0261,5.0,0.3,1.71,19,bw 
0.4619,0.4068,0.4714,0.3671,0.3905,0.3784,0.2747,0.00090,0.0261,5.0,0.2,1.40,18,bw 
0.4619,0.3979,0.4667,0.3627,0.3846,0.3733,0.2689,0.00090,0.0261,5.0,0.1,1.25,15,bw 
0.4667,0.4133,0.4714,0.3676,0.3918,0.3793,0.2756,0.00090,0.0100,5.0,1.0,1.58,21,bw 
0.4619,0.4044,0.4667,0.3594,0.3819,0.3703,0.2653,0.00090,0.0100,5.0,0.9,1.71,17,bw 
0.4571,0.3967,0.4619,0.3598,0.3829,0.3710,0.2660,0.00090,0.0100,5.0,0.8,1.53,19,bw 
0.4619,0.4017,0.4667,0.3642,0.3852,0.3744,0.2703,0.00090,0.0100,5.0,0.7,2.66,19,bw 
0.4619,0.4002,0.4714,0.3648,0.3862,0.3752,0.2712,0.00090,0.0100,5.0,0.6,1.38,10,bw 
0.4619,0.3973,0.4667,0.3590,0.3819,0.3701,0.2649,0.00090,0.0100,5.0,0.5,1.13,11,bw 
0.4619,0.4002,0.4714,0.3613,0.3829,0.3718,0.2672,0.00090,0.0100,5.0,0.4,0.97,10,bw 
0.4619,0.3990,0.4714,0.3600,0.3803,0.3698,0.2651,0.00090,0.0100,5.0,0.3,1.72,9,bw 
0.4667,0.3982,0.4667,0.3592,0.3800,0.3693,0.2644,0.00090,0.0100,5.0,0.2,0.83,9,bw 
